ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000
5;0.000000;0.000000;510.000000;0.000000;0;0.000000
9;0.000000;0.000000;510.000000;0.000000;0;0.000000
14;0.000000;0.000000;510.000000;0.000000;0;0.000000
18;0.000000;0.000000;510.000000;0.000000;0;0.000000
23;0.000000;0.000000;510.000000;0.000000;0;0.000000
27;0.000000;0.000000;510.000000;0.000000;0;0.000000
32;0.000000;0.000000;510.000000;0.000000;0;0.000000
37;0.000000;0.000000;510.000000;0.000000;0;0.000000
41;0.000000;0.000000;510.000000;0.000000;0;0.000000
46;0.000000;0.000000;510.000000;0.000000;0;0.000000
50;0.000000;0.000000;510.000000;0.000000;0;0.000000
55;0.000000;0.000000;510.000000;0.000000;0;0.000000
59;0.000000;0.000000;510.000000;0.000000;0;0.000000
63;0.000000;0.000000;510.000000;0.000000;0;0.000000
67;0.000000;0.000000;510.000000;0.000000;0;0.000000
72;0.000000;0.000000;510.000000;0.000000;0;0.000000
77;0.000000;0.000000;510.000000;2.100000;1;0.070000
81;0.000000;0.150000;509.850000;2.100000;1;0.070000
86;0.000000;0.150000;509.700000;2.100000;1;0.070000
90;0.000000;0.150000;509.550000;2.100000;1;0.070000
95;0.000000;0.150000;509.400000;2.100000;1;0.070000
100;0.000000;0.150000;509.250000;2.100000;1;0.070000
104;0.000000;0.150000;509.100000;6.450000;1;0.162703
109;0.000000;0.150000;508.950000;6.450000;1;0.162703
113;0.000000;0.150000;508.800000;6.450000;1;0.162703
118;0.000000;0.150000;508.650000;6.450000;1;0.162703
121;0.000000;0.150000;508.500000;6.450000;1;0.162703
126;0.000000;0.150000;508.350000;0.000000;1;-0.335294
130;0.000000;0.000000;508.350000;0.000000;1;-0.335294
135;0.000000;0.000000;508.350000;0.000000;1;-0.335294
139;0.000000;0.000000;508.350000;0.000000;1;-0.335294
144;0.000000;0.000000;508.350000;0.000000;1;-0.335294
149;0.000000;0.000000;508.350000;0.000000;1;-0.335294
153;0.000000;0.000000;508.350000;0.000000;1;0.000000
158;0.000000;0.000000;508.350000;0.000000;1;0.000000
162;0.000000;0.000000;508.350000;0.000000;1;0.000000
167;0.000000;0.000000;508.350000;0.000000;1;0.000000
171;0.000000;0.000000;508.350000;0.000000;1;0.000000
176;0.000000;0.000000;508.350000;0.000000;1;0.000000
