ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
3;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
7;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
10;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
14;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
17;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
21;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
25;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
28;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
32;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
35;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
39;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
42;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
46;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
49;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
53;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
56;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
59;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
62;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
66;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
69;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
73;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
76;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
80;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
83;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
87;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
91;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
94;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
98;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
101;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
104;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
108;0.000000;0.000000;2500.000000;0.000000;0;0.000000;
