ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000;
5;0.000000;0.000000;510.000000;0.000000;0;0.000000;
10;0.000000;0.000000;510.000000;0.000000;0;0.000000;
15;0.000000;0.000000;510.000000;0.000000;0;0.000000;
20;0.000000;0.000000;510.000000;0.000000;0;0.000000;
25;0.000000;0.000000;510.000000;0.000000;0;0.000000;
30;0.000000;0.000000;510.000000;0.000000;0;0.000000;
35;0.000000;0.000000;510.000000;0.000000;0;0.000000;
40;0.000000;0.000000;510.000000;0.000000;0;0.000000;
45;0.000000;0.000000;510.000000;0.000000;0;0.000000;
50;0.000000;0.000000;510.000000;0.000000;0;0.000000;
55;0.000000;0.000000;510.000000;0.000000;0;0.000000;
59;0.000000;0.000000;510.000000;0.000000;0;0.000000;
64;0.000000;0.000000;510.000000;0.000000;0;0.000000;
69;0.000000;0.000000;510.000000;0.000000;0;0.000000;
74;0.000000;0.000000;510.000000;0.000000;0;0.000000;
79;0.000000;0.000000;510.000000;0.000000;0;0.000000;
84;0.000000;0.000000;510.000000;0.000000;0;0.000000;
89;0.000000;0.000000;510.000000;0.000000;0;0.000000;
94;0.000000;0.000000;510.000000;0.000000;0;0.000000;
99;0.000000;0.000000;510.000000;0.000000;0;0.000000;
104;0.000000;0.000000;510.000000;0.000000;0;0.000000;
109;0.000000;0.000000;510.000000;0.000000;0;0.000000;
114;0.000000;0.000000;510.000000;0.000000;0;0.000000;
119;0.000000;0.000000;510.000000;0.000000;0;0.000000;
124;0.000000;0.000000;510.000000;0.000000;0;0.000000;
129;0.000000;0.000000;510.000000;0.000000;0;0.000000;
134;0.000000;0.000000;510.000000;0.000000;0;0.000000;
139;0.000000;0.000000;510.000000;0.000000;0;0.000000;
144;0.000000;0.000000;510.000000;0.000000;0;0.000000;
149;0.000000;0.000000;510.000000;0.000000;0;0.000000;
154;0.000000;0.000000;510.000000;0.000000;0;0.000000;
159;0.000000;0.000000;510.000000;0.000000;0;0.000000;
164;0.000000;0.000000;510.000000;0.000000;0;0.000000;
169;0.000000;0.000000;510.000000;0.000000;0;0.000000;
174;0.000000;0.000000;510.000000;0.000000;0;0.000000;
178;0.000000;0.000000;510.000000;0.000000;0;0.000000;
183;0.000000;0.000000;510.000000;0.000000;0;0.000000;
188;0.000000;0.000000;510.000000;0.000000;0;0.000000;
